,Curve_idx,Dataset_idx,Learner_idx,Learner_name,Model,SMAPE,MAE,MSE,Cutoff_idx,Cutoff_percentage,Train_points,Test_points,curve_idx,SMAPE_rank,MAE_rank,MSE_rank,Average_rank
161,49,34,14,BernoulliNB,MMF4,0.5405681855423975,0.0074237277058288,6.409828575546663e-05,25,0.1,25,42,41,1.0,1.0,1.0,1.0
162,49,34,14,BernoulliNB,WBL4,0.5735373616988059,0.0078735086973018,7.171851279202037e-05,25,0.1,25,42,41,2.0,2.0,2.0,2.0
163,49,34,14,BernoulliNB,POW4,0.7225788797067629,0.0100412338377814,0.0001026174245667,25,0.1,25,42,41,3.0,3.0,3.0,3.0
164,43,66,12,LDA,LC-PFN,7.081951946020126,0.0795904994010925,0.006593192461878,25,0.1,25,21,42,4.0,4.0,4.0,4.0
165,43,66,12,LDA,MMF4,6.54196408645977,0.0741021380512141,0.006240771319061,25,0.1,25,21,42,3.0,3.0,3.0,3.0
166,43,66,12,LDA,WBL4,5.978577803685506,0.0681320634532262,0.0053916224811631,25,0.1,25,21,42,1.0,1.0,1.0,1.0
167,43,66,12,LDA,POW4,5.97857785775405,0.0681320640290866,0.0053916225566302,25,0.1,25,21,42,2.0,2.0,2.0,2.0
168,50,238,16,ComplementNB,LC-PFN,5.993326753377914,0.0778104737401008,0.0075780418701469,25,0.1,25,70,43,1.0,1.0,1.0,1.0
169,50,238,16,ComplementNB,MMF4,18.358736981748443,0.2810192307295778,0.093869785870154,25,0.1,25,70,43,3.0,3.0,3.0,3.0
170,50,238,16,ComplementNB,WBL4,20.12568217406336,0.3136912725298684,0.1135436103375812,25,0.1,25,70,43,4.0,4.0,4.0,4.0
171,50,238,16,ComplementNB,POW4,11.147846244753822,0.1572451670018139,0.0330012803477344,25,0.1,25,70,43,2.0,2.0,2.0,2.0
